,X,Y,Z
31992,-1.7231431007385254,-0.5959762930870056,0.17383825778961182
31993,-1.7245913743972778,-0.593474268913269,0.1734297126531601
31994,-1.7260370254516602,-0.590958297252655,0.17302346229553223
31995,-1.7274808883666992,-0.588428258895874,0.1726192682981491
31996,-1.7289224863052368,-0.5858845710754395,0.17221729457378387
31997,-1.7303619384765625,-0.5833264589309692,0.1718173623085022
31998,-1.7317992448806763,-0.5807546973228455,0.1714196503162384
31999,-1.7332342863082886,-0.5781691074371338,0.17102403938770294
32000,-1.7346670627593994,-0.5755696296691895,0.1706305891275406
32001,-1.7360974550247192,-0.5729561448097229,0.17023922502994537
32002,-1.7375253438949585,-0.5703288316726685,0.16985006630420685
32003,-1.7389510869979858,-0.567687451839447,0.1694629043340683
32004,-1.7403740882873535,-0.5650322437286377,0.1690780073404312
32005,-1.7417945861816406,-0.5623630881309509,0.16869524121284485
32006,-1.7432126998901367,-0.5596803426742554,0.16831444203853607
32007,-1.7446281909942627,-0.5569833517074585,0.16793584823608398
32008,-1.746040940284729,-0.5542727112770081,0.16755934059619904
32009,-1.7474510669708252,-0.551548182964325,0.1671849489212036
32010,-1.7488584518432617,-0.5488099455833435,0.1668127179145813
32011,-1.750262975692749,-0.5460579991340637,0.16644251346588135
32012,-1.7516647577285767,-0.5432919859886169,0.1660744696855545
32013,-1.7530635595321655,-0.5405123233795166,0.1657084971666336
32014,-1.7544596195220947,-0.5377188920974731,0.16534461081027985
32015,-1.7558525800704956,-0.5349117517471313,0.16498281061649323
32016,-1.7572424411773682,-0.5320908427238464,0.16462312638759613
32017,-1.758629322052002,-0.5292565226554871,0.16426558792591095
32018,-1.7600131034851074,-0.5264080762863159,0.16390998661518097
32019,-1.7613937854766846,-0.5235464572906494,0.1635565459728241
32020,-1.7627713680267334,-0.5206708908081055,0.16320525109767914
32021,-1.7641453742980957,-0.5177819132804871,0.16285601258277893
32022,-1.7655162811279297,-0.5148794054985046,0.16250884532928467
32023,-1.7668836116790771,-0.5119631290435791,0.16216376423835754
32024,-1.7682476043701172,-0.5090336203575134,0.16182070970535278
32025,-1.7696081399917603,-0.5060905814170837,0.16147971153259277
32026,-1.7709650993347168,-0.5031340718269348,0.16114085912704468
32027,-1.7723184823989868,-0.5001640915870667,0.16080410778522491
32028,-1.7736681699752808,-0.4971808195114136,0.16046938300132751
32029,-1.7750141620635986,-0.4941841959953308,0.16013672947883606
32030,-1.7763564586639404,-0.4911744296550751,0.15980613231658936
32031,-1.7776949405670166,-0.48815128207206726,0.1594775915145874
32032,-1.779029369354248,-0.48511508107185364,0.15915116667747498
32033,-1.7803599834442139,-0.48206549882888794,0.1588267683982849
32034,-1.781686544418335,-0.47900301218032837,0.158504456281662
32035,-1.7830089330673218,-0.47592705488204956,0.1581842303276062
32036,-1.7843273878097534,-0.47283855080604553,0.15786606073379517
32037,-1.7856416702270508,-0.469736784696579,0.1575499325990677
32038,-1.7869515419006348,-0.4666220545768738,0.15723593533039093
32039,-1.788257122039795,-0.4634944200515747,0.15692400932312012
32040,-1.7895581722259521,-0.460354208946228,0.15661415457725525
32041,-1.790854811668396,-0.4572010338306427,0.15630634129047394
32042,-1.792147159576416,-0.45403510332107544,0.15600058436393738
32043,-1.793434739112854,-0.4508563280105591,0.15569691359996796
32044,-1.7947176694869995,-0.44766515493392944,0.15539535880088806
32045,-1.7959959506988525,-0.44446125626564026,0.15509583055973053
32046,-1.7972692251205444,-0.4412449896335602,0.1547984629869461
32047,-1.7985378503799438,-0.43801629543304443,0.15450309216976166
32048,-1.7998014688491821,-0.43477508425712585,0.1542099118232727
32049,-1.8010600805282593,-0.43152159452438354,0.15391865372657776
32050,-1.8023134469985962,-0.42825621366500854,0.1536296308040619
32051,-1.803561806678772,-0.4249780774116516,0.15334267914295197
32052,-1.804805040359497,-0.4216878116130829,0.15305769443511963
32053,-1.8060429096221924,-0.41838565468788147,0.1527749001979828
32054,-1.8072751760482788,-0.4150715172290802,0.15249423682689667
32055,-1.808502197265625,-0.41174548864364624,0.1522156000137329
32056,-1.8097236156463623,-0.4084074795246124,0.15193912386894226
32057,-1.8109395503997803,-0.40505796670913696,0.15166470408439636
32058,-1.8121496438980103,-0.40169647336006165,0.1513923853635788
32059,-1.8133541345596313,-0.3983233571052551,0.15112216770648956
32060,-1.8145525455474854,-0.39493876695632935,0.15085414052009583
32061,-1.815745234489441,-0.3915424346923828,0.15058819949626923
32062,-1.8169318437576294,-0.38813474774360657,0.15032434463500977
32063,-1.8181124925613403,-0.38471582531929016,0.1500626653432846
32064,-1.819286823272705,-0.381285697221756,0.1498030722141266
32065,-1.8204549551010132,-0.3778444826602936,0.14954565465450287
32066,-1.8216168880462646,-0.3743920624256134,0.1492902785539627
32067,-1.8227722644805908,-0.37092867493629456,0.1490371972322464
32068,-1.8239212036132812,-0.36745432019233704,0.14878614246845245
32069,-1.8250635862350464,-0.3639690577983856,0.1485372930765152
32070,-1.8261994123458862,-0.3604731261730194,0.14829060435295105
32071,-1.8273283243179321,-0.35696643590927124,0.14804606139659882
32072,-1.8284505605697632,-0.35344916582107544,0.14780357480049133
32073,-1.8295656442642212,-0.34992143511772156,0.1475633829832077
32074,-1.8306740522384644,-0.3463830351829529,0.1473252922296524
32075,-1.831775426864624,-0.34283486008644104,0.14708936214447021
32076,-1.832869529724121,-0.3392762243747711,0.1468556672334671
32077,-1.8339563608169556,-0.33570730686187744,0.1466241031885147
32078,-1.8350359201431274,-0.3321284353733063,0.1463947296142578
32079,-1.8361080884933472,-0.3285396099090576,0.14616753160953522
32080,-1.8371727466583252,-0.32494089007377625,0.1459425687789917
32081,-1.8382296562194824,-0.32133254408836365,0.14571969211101532
32082,-1.8392791748046875,-0.3177144229412079,0.14549916982650757
32083,-1.8403209447860718,-0.31408679485321045,0.14528077840805054
32084,-1.8413548469543457,-0.3104497790336609,0.14506463706493378
32085,-1.8423808813095093,-0.30680328607559204,0.14485064148902893
32086,-1.8433988094329834,-0.3031475245952606,0.14463888108730316
32087,-1.8444089889526367,-0.2994825839996338,0.14442934095859528
32088,-1.8454108238220215,-0.29580849409103394,0.14422206580638885
32089,-1.8464043140411377,-0.29212549328804016,0.14401695132255554
32090,-1.847389578819275,-0.2884337306022644,0.14381414651870728
32091,-1.8483664989471436,-0.2847329080104828,0.1436135321855545
